datetime,EOS-USD_open,EOS-USD_high,EOS-USD_low,EOS-USD_close,LINK-USD_open,LINK-USD_high,LINK-USD_low,LINK-USD_close
2022-03-12T01:00:00.000Z,1.994,2.008,1.994,2.005,13.286,13.422,13.28,13.381
2022-03-12T02:00:00.000Z,2.004,2.007,1.989,1.989,13.395,13.439,13.282,13.3
2022-03-12T03:00:00.000Z,1.991,1.997,1.982,1.987,13.316,13.397,13.295,13.309
2022-03-12T04:00:00.000Z,1.983,1.996,1.979,1.988,13.296,13.396,13.268,13.351
2022-03-12T05:00:00.000Z,1.979,1.991,1.979,1.991,13.35,13.381,13.305,13.338
2022-03-12T06:00:00.000Z,1.993,1.993,1.984,1.987,13.366,13.404,13.281,13.293
2022-03-12T07:00:00.000Z,1.984,1.987,1.978,1.982,13.298,13.31,13.235,13.251
2022-03-12T08:00:00.000Z,1.985,1.991,1.978,1.988,13.248,13.248,13.127,13.182
2022-03-12T09:00:00.000Z,1.986,2.001,1.986,1.992,13.18,13.253,13.172,13.211
2022-03-12T10:00:00.000Z,1.995,2.0,1.995,1.996,13.235,13.28,13.213,13.28
2022-03-12T11:00:00.000Z,1.998,2.004,1.982,1.984,13.266,13.303,13.18,13.184
2022-03-12T12:00:00.000Z,1.986,1.998,1.982,1.998,13.188,13.282,13.17,13.243
2022-03-12T13:00:00.000Z,1.999,1.999,1.986,1.989,13.242,13.255,13.177,13.202
2022-03-12T14:00:00.000Z,1.982,1.992,1.967,1.976,13.166,13.21,13.092,13.157
2022-03-12T15:00:00.000Z,1.979,1.989,1.977,1.986,13.164,13.271,13.145,13.196
2022-03-12T16:00:00.000Z,1.986,1.989,1.976,1.985,13.201,13.329,13.166,13.311
2022-03-12T17:00:00.000Z,1.987,1.996,1.981,1.981,13.343,13.452,13.341,13.364
2022-03-12T18:00:00.000Z,1.982,1.982,1.974,1.979,13.36,13.395,13.335,13.379
2022-03-12T19:00:00.000Z,1.977,1.979,1.974,1.974,13.355,13.362,13.314,13.337
2022-03-12T20:00:00.000Z,1.974,1.984,1.973,1.979,13.316,13.372,13.311,13.322
2022-03-12T21:00:00.000Z,1.981,1.981,1.973,1.975,13.343,13.344,13.27,13.28
2022-03-12T22:00:00.000Z,1.975,1.978,1.975,1.975,13.277,13.277,13.203,13.237
2022-03-12T23:00:00.000Z,1.978,1.981,1.965,1.967,13.238,13.253,13.113,13.136
2022-03-13T00:00:00.000Z,1.963,1.974,1.962,1.971,13.126,13.168,13.069,13.124
2022-03-13T01:00:00.000Z,1.971,1.991,1.971,1.979,13.147,13.245,13.145,13.212
2022-03-13T02:00:00.000Z,1.98,1.992,1.98,1.992,13.234,13.309,13.234,13.3
2022-03-13T03:00:00.000Z,1.993,2.003,1.991,2.003,13.35,13.37,13.328,13.356
2022-03-13T04:00:00.000Z,2.004,2.005,1.997,1.998,13.39,13.42,13.373,13.375
2022-03-13T05:00:00.000Z,2.001,2.002,1.997,1.998,13.38,13.411,13.356,13.369
2022-03-13T06:00:00.000Z,2.0,2.002,1.994,2.002,13.356,13.36,13.317,13.357
2022-03-13T07:00:00.000Z,2.004,2.006,1.997,1.997,13.355,13.389,13.32,13.334
2022-03-13T08:00:00.000Z,1.996,1.997,1.989,1.997,13.331,13.337,13.289,13.298
2022-03-13T09:00:00.000Z,2.0,2.0,1.984,1.989,13.299,13.344,13.235,13.249
2022-03-13T10:00:00.000Z,1.992,1.994,1.986,1.986,13.25,13.25,13.208,13.235
2022-03-13T11:00:00.000Z,1.992,1.993,1.967,1.973,13.229,13.234,13.107,13.146
2022-03-13T12:00:00.000Z,1.966,1.968,1.94,1.945,13.131,13.158,12.995,13.062
2022-03-13T13:00:00.000Z,1.942,1.963,1.94,1.957,13.005,13.144,12.994,13.071
2022-03-13T14:00:00.000Z,1.954,1.963,1.954,1.96,13.079,13.162,13.067,13.123
2022-03-13T15:00:00.000Z,1.965,1.97,1.963,1.966,13.16,13.196,13.155,13.166
2022-03-13T16:00:00.000Z,1.964,1.969,1.962,1.963,13.168,13.218,13.135,13.218
2022-03-13T17:00:00.000Z,1.963,1.966,1.959,1.966,13.226,13.283,13.185,13.224
2022-03-13T18:00:00.000Z,1.967,1.967,1.966,1.966,13.224,13.292,13.221,13.273
2022-03-13T19:00:00.000Z,1.971,1.971,1.956,1.956,13.274,13.284,13.184,13.184
2022-03-13T20:00:00.000Z,1.951,1.952,1.936,1.952,13.152,13.152,13.005,13.051
2022-03-13T21:00:00.000Z,1.947,1.956,1.947,1.955,13.026,13.075,13.022,13.06
2022-03-13T22:00:00.000Z,1.956,1.956,1.89,1.902,13.08,13.088,12.598,12.688
2022-03-13T23:00:00.000Z,1.896,1.912,1.895,1.908,12.675,12.758,12.602,12.712
2022-03-14T00:00:00.000Z,1.904,1.905,1.884,1.905,12.693,12.751,12.605,12.68
2022-03-14T01:00:00.000Z,1.914,1.92,1.909,1.913,12.701,12.799,12.648,12.658
2022-03-14T02:00:00.000Z,1.911,1.916,1.911,1.912,12.656,12.722,12.626,12.674
2022-03-14T03:00:00.000Z,1.911,1.92,1.907,1.92,12.646,12.708,12.646,12.704
2022-03-14T04:00:00.000Z,1.919,1.967,1.919,1.941,12.713,13.16,12.713,13.102
2022-03-14T05:00:00.000Z,1.944,1.949,1.939,1.942,13.122,13.232,13.117,13.157
2022-03-14T06:00:00.000Z,1.944,1.951,1.941,1.949,13.19,13.261,13.155,13.185
2022-03-14T07:00:00.000Z,1.948,1.961,1.947,1.957,13.195,13.299,13.195,13.237
2022-03-14T08:00:00.000Z,1.96,1.97,1.957,1.964,13.251,13.353,13.251,13.311
2022-03-14T09:00:00.000Z,1.964,1.976,1.961,1.97,13.309,13.329,13.2,13.253
2022-03-14T10:00:00.000Z,1.97,1.97,1.961,1.965,13.25,13.267,13.222,13.267
2022-03-14T11:00:00.000Z,1.964,1.964,1.952,1.957,13.281,13.285,13.157,13.189
2022-03-14T12:00:00.000Z,1.958,1.958,1.946,1.951,13.151,13.183,13.091,13.13
2022-03-14T13:00:00.000Z,1.954,1.958,1.939,1.95,13.14,13.209,13.059,13.158
2022-03-14T14:00:00.000Z,1.95,1.96,1.948,1.951,13.165,13.275,13.117,13.181
2022-03-14T15:00:00.000Z,1.954,1.955,1.946,1.952,13.221,13.221,13.086,13.111
2022-03-14T16:00:00.000Z,1.952,1.958,1.946,1.948,13.137,13.198,13.093,13.107
2022-03-14T17:00:00.000Z,1.943,1.945,1.932,1.936,13.057,13.065,12.901,12.921
2022-03-14T18:00:00.000Z,1.934,1.934,1.915,1.922,12.9,12.9,12.746,12.862
2022-03-14T19:00:00.000Z,1.927,1.928,1.919,1.928,12.818,12.909,12.818,12.909
2022-03-14T20:00:00.000Z,1.93,1.931,1.923,1.923,12.914,13.003,12.896,12.901
2022-03-14T21:00:00.000Z,1.924,1.931,1.922,1.924,12.884,13.0,12.884,12.965
2022-03-14T22:00:00.000Z,1.925,1.963,1.923,1.948,12.988,13.336,12.988,13.229
2022-03-14T23:00:00.000Z,1.955,1.969,1.955,1.966,13.234,13.431,13.234,13.403
2022-03-15T00:00:00.000Z,1.967,1.972,1.956,1.97,13.433,13.578,13.357,13.537
2022-03-15T01:00:00.000Z,1.973,1.973,1.945,1.945,13.538,13.556,13.322,13.337
2022-03-15T02:00:00.000Z,1.949,1.957,1.947,1.955,13.322,13.48,13.322,13.424
2022-03-15T03:00:00.000Z,1.954,1.954,1.942,1.943,13.418,13.436,13.207,13.207
2022-03-15T04:00:00.000Z,1.946,1.947,1.944,1.946,13.233,13.27,13.195,13.198
2022-03-15T05:00:00.000Z,1.943,1.946,1.942,1.946,13.17,13.175,13.127,13.133
2022-03-15T06:00:00.000Z,1.949,1.957,1.949,1.95,13.121,13.254,13.097,13.122
2022-03-15T07:00:00.000Z,1.948,1.948,1.918,1.931,13.106,13.106,12.872,12.971
2022-03-15T08:00:00.000Z,1.932,1.933,1.922,1.924,12.979,12.992,12.924,12.94
2022-03-15T09:00:00.000Z,1.922,1.934,1.921,1.932,12.961,13.01,12.898,12.983
2022-03-15T10:00:00.000Z,1.934,1.938,1.93,1.938,12.993,13.015,12.976,13.013
2022-03-15T11:00:00.000Z,1.937,1.94,1.937,1.94,13.008,13.07,13.008,13.037
