datetime,EOS-USD_open,EOS-USD_high,EOS-USD_low,EOS-USD_close
2022-03-11T19:00:00.000Z,1.943,1.952,1.941,1.948
2022-03-11T20:00:00.000Z,1.949,1.958,1.937,1.94
2022-03-11T21:00:00.000Z,1.941,1.985,1.941,1.985
2022-03-11T22:00:00.000Z,1.984,1.993,1.981,1.987
2022-03-11T23:00:00.000Z,1.985,1.993,1.973,1.973
2022-03-12T00:00:00.000Z,1.972,1.994,1.972,1.993
2022-03-12T01:00:00.000Z,1.994,2.008,1.994,2.005
2022-03-12T02:00:00.000Z,2.004,2.007,1.989,1.989
2022-03-12T03:00:00.000Z,1.991,1.997,1.982,1.987
2022-03-12T04:00:00.000Z,1.983,1.996,1.979,1.988
2022-03-12T05:00:00.000Z,1.979,1.991,1.979,1.991
2022-03-12T06:00:00.000Z,1.993,1.993,1.984,1.987
2022-03-12T07:00:00.000Z,1.984,1.987,1.978,1.982
2022-03-12T08:00:00.000Z,1.985,1.991,1.978,1.988
2022-03-12T09:00:00.000Z,1.986,2.001,1.986,1.992
2022-03-12T10:00:00.000Z,1.995,2.0,1.995,1.996
2022-03-12T11:00:00.000Z,1.998,2.004,1.982,1.984
2022-03-12T12:00:00.000Z,1.986,1.998,1.982,1.998
2022-03-12T13:00:00.000Z,1.999,1.999,1.986,1.989
2022-03-12T14:00:00.000Z,1.982,1.992,1.967,1.976
2022-03-12T15:00:00.000Z,1.979,1.989,1.977,1.986
2022-03-12T16:00:00.000Z,1.986,1.989,1.976,1.985
2022-03-12T17:00:00.000Z,1.987,1.996,1.981,1.981
2022-03-12T18:00:00.000Z,1.982,1.982,1.974,1.979
2022-03-12T19:00:00.000Z,1.977,1.979,1.974,1.974
2022-03-12T20:00:00.000Z,1.974,1.984,1.973,1.979
2022-03-12T21:00:00.000Z,1.981,1.981,1.973,1.975
2022-03-12T22:00:00.000Z,1.975,1.978,1.975,1.975
2022-03-12T23:00:00.000Z,1.978,1.981,1.965,1.967
2022-03-13T00:00:00.000Z,1.963,1.974,1.962,1.971
2022-03-13T01:00:00.000Z,1.971,1.991,1.971,1.979
2022-03-13T02:00:00.000Z,1.98,1.992,1.98,1.992
2022-03-13T03:00:00.000Z,1.993,2.003,1.991,2.003
2022-03-13T04:00:00.000Z,2.004,2.005,1.997,1.998
2022-03-13T05:00:00.000Z,2.001,2.002,1.997,1.998
2022-03-13T06:00:00.000Z,2.0,2.002,1.994,2.002
2022-03-13T07:00:00.000Z,2.004,2.006,1.997,1.997
2022-03-13T08:00:00.000Z,1.996,1.997,1.989,1.997
2022-03-13T09:00:00.000Z,2.0,2.0,1.984,1.989
2022-03-13T10:00:00.000Z,1.992,1.994,1.986,1.986
2022-03-13T11:00:00.000Z,1.992,1.993,1.967,1.973
2022-03-13T12:00:00.000Z,1.966,1.968,1.94,1.945
