datetime,LINK-USD_open,LINK-USD_high,LINK-USD_low,LINK-USD_close
2022-03-11T19:00:00.000Z,13.021,13.063,12.99,13.017
2022-03-11T20:00:00.000Z,12.998,13.074,12.918,12.947
2022-03-11T21:00:00.000Z,12.964,13.184,12.964,13.141
2022-03-11T22:00:00.000Z,13.141,13.224,13.105,13.132
2022-03-11T23:00:00.000Z,13.117,13.137,13.045,13.045
2022-03-12T00:00:00.000Z,13.035,13.281,13.014,13.259
2022-03-12T01:00:00.000Z,13.286,13.422,13.28,13.381
2022-03-12T02:00:00.000Z,13.395,13.439,13.282,13.3
2022-03-12T03:00:00.000Z,13.316,13.397,13.295,13.309
2022-03-12T04:00:00.000Z,13.296,13.396,13.268,13.351
2022-03-12T05:00:00.000Z,13.35,13.381,13.305,13.338
2022-03-12T06:00:00.000Z,13.366,13.404,13.281,13.293
2022-03-12T07:00:00.000Z,13.298,13.31,13.235,13.251
2022-03-12T08:00:00.000Z,13.248,13.248,13.127,13.182
2022-03-12T09:00:00.000Z,13.18,13.253,13.172,13.211
2022-03-12T10:00:00.000Z,13.235,13.28,13.213,13.28
2022-03-12T11:00:00.000Z,13.266,13.303,13.18,13.184
2022-03-12T12:00:00.000Z,13.188,13.282,13.17,13.243
2022-03-12T13:00:00.000Z,13.242,13.255,13.177,13.202
2022-03-12T14:00:00.000Z,13.166,13.21,13.092,13.157
2022-03-12T15:00:00.000Z,13.164,13.271,13.145,13.196
2022-03-12T16:00:00.000Z,13.201,13.329,13.166,13.311
2022-03-12T17:00:00.000Z,13.343,13.452,13.341,13.364
2022-03-12T18:00:00.000Z,13.36,13.395,13.335,13.379
2022-03-12T19:00:00.000Z,13.355,13.362,13.314,13.337
2022-03-12T20:00:00.000Z,13.316,13.372,13.311,13.322
2022-03-12T21:00:00.000Z,13.343,13.344,13.27,13.28
2022-03-12T22:00:00.000Z,13.277,13.277,13.203,13.237
2022-03-12T23:00:00.000Z,13.238,13.253,13.113,13.136
2022-03-13T00:00:00.000Z,13.126,13.168,13.069,13.124
2022-03-13T01:00:00.000Z,13.147,13.245,13.145,13.212
2022-03-13T02:00:00.000Z,13.234,13.309,13.234,13.3
2022-03-13T03:00:00.000Z,13.35,13.37,13.328,13.356
2022-03-13T04:00:00.000Z,13.39,13.42,13.373,13.375
2022-03-13T05:00:00.000Z,13.38,13.411,13.356,13.369
2022-03-13T06:00:00.000Z,13.356,13.36,13.317,13.357
2022-03-13T07:00:00.000Z,13.355,13.389,13.32,13.334
2022-03-13T08:00:00.000Z,13.331,13.337,13.289,13.298
2022-03-13T09:00:00.000Z,13.299,13.344,13.235,13.249
2022-03-13T10:00:00.000Z,13.25,13.25,13.208,13.235
2022-03-13T11:00:00.000Z,13.229,13.234,13.107,13.146
2022-03-13T12:00:00.000Z,13.131,13.158,12.995,13.062
2022-03-13T13:00:00.000Z,13.005,13.144,12.994,13.071
2022-03-13T14:00:00.000Z,13.079,13.162,13.067,13.123
2022-03-13T15:00:00.000Z,13.16,13.196,13.155,13.166
2022-03-13T16:00:00.000Z,13.168,13.218,13.135,13.218
2022-03-13T17:00:00.000Z,13.226,13.283,13.185,13.224
2022-03-13T18:00:00.000Z,13.224,13.292,13.221,13.273
2022-03-13T19:00:00.000Z,13.274,13.284,13.184,13.184
2022-03-13T20:00:00.000Z,13.152,13.152,13.005,13.051
2022-03-13T21:00:00.000Z,13.026,13.075,13.022,13.06
2022-03-13T22:00:00.000Z,13.08,13.088,12.598,12.688
2022-03-13T23:00:00.000Z,12.675,12.758,12.602,12.712
2022-03-14T00:00:00.000Z,12.693,12.751,12.605,12.68
2022-03-14T01:00:00.000Z,12.701,12.799,12.648,12.658
2022-03-14T02:00:00.000Z,12.656,12.722,12.626,12.674
2022-03-14T03:00:00.000Z,12.646,12.708,12.646,12.704
2022-03-14T04:00:00.000Z,12.713,13.16,12.713,13.102
